model,target,window,split,metric,value
seasonal_naive,hits,1m,test,RMSE,24.34476942674212
seasonal_naive,hits,1m,test,MSE,592.6677984412378
seasonal_naive,hits,1m,test,MAE,18.206651747820047
seasonal_naive,hits,1m,test,MAPE,121537155718.68796
seasonal_naive,total_bytes,1m,test,RMSE,683105.8562444878
seasonal_naive,total_bytes,1m,test,MSE,466633610835.5148
seasonal_naive,total_bytes,1m,test,MAE,481576.19322478585
seasonal_naive,total_bytes,1m,test,MAPE,2286978316228322.0
seasonal_naive,hits,5m,test,RMSE,92.5043981763898
seasonal_naive,hits,5m,test,MSE,8557.063681976071
seasonal_naive,hits,5m,test,MAE,67.51524507912004
seasonal_naive,hits,5m,test,MAPE,284832111204.11176
seasonal_naive,total_bytes,5m,test,RMSE,2069116.8478682872
seasonal_naive,total_bytes,5m,test,MSE,4281244530132.397
seasonal_naive,total_bytes,5m,test,MAE,1546935.8784253185
seasonal_naive,total_bytes,5m,test,MAPE,4992799691238971.0
seasonal_naive,hits,15m,test,RMSE,245.74635059276864
seasonal_naive,hits,15m,test,MSE,60391.26882966396
seasonal_naive,hits,15m,test,MAE,174.63151796060254
seasonal_naive,hits,15m,test,MAPE,35.54695339578069
seasonal_naive,total_bytes,15m,test,RMSE,4944258.662157488
seasonal_naive,total_bytes,15m,test,MSE,24445693718319.35
seasonal_naive,total_bytes,15m,test,MAE,3684466.9884125143
seasonal_naive,total_bytes,15m,test,MAPE,48.719016615059395
xgb,hits,1m,cv_mean,RMSE,0.16522788755645174
xgb,hits,1m,cv_mean,MSE,0.027401474480706133
xgb,hits,1m,cv_mean,MAE,0.08570018381152193
xgb,hits,1m,cv_mean,MAPE,11978653.31436245
xgb,hits,1m,test,RMSE,16.73241433705999
xgb,hits,1m,test,MSE,279.9736895470507
xgb,hits,1m,test,MAE,12.50880160025852
xgb,hits,1m,test,MAPE,6679096017.244161
seasonal_naive,hits,1m,test,RMSE,24.34476942674212
seasonal_naive,hits,1m,test,MSE,592.6677984412378
seasonal_naive,hits,1m,test,MAE,18.206651747820047
seasonal_naive,hits,1m,test,MAPE,121537155718.68796
xgb,total_bytes,1m,cv_mean,RMSE,22273.54254237606
xgb,total_bytes,1m,cv_mean,MSE,507827267.0432123
xgb,total_bytes,1m,cv_mean,MAE,10869.551301757852
xgb,total_bytes,1m,cv_mean,MAPE,34925206067.82753
xgb,total_bytes,1m,test,RMSE,607012.0527731843
xgb,total_bytes,1m,test,MSE,368463632211.91504
xgb,total_bytes,1m,test,MAE,415127.36114224367
xgb,total_bytes,1m,test,MAPE,521940702308059.5
seasonal_naive,total_bytes,1m,test,RMSE,683105.8562444878
seasonal_naive,total_bytes,1m,test,MSE,466633610835.5148
seasonal_naive,total_bytes,1m,test,MAE,481576.19322478585
seasonal_naive,total_bytes,1m,test,MAPE,2286978316228322.0
xgb,hits,5m,cv_mean,RMSE,1.648184477019943
xgb,hits,5m,cv_mean,MSE,2.7374652813802527
xgb,hits,5m,cv_mean,MAE,1.1642172969541407
xgb,hits,5m,cv_mean,MAPE,184831771.8260079
xgb,hits,5m,test,RMSE,53.10826423040213
xgb,hits,5m,test,MSE,2820.4877295662104
xgb,hits,5m,test,MAE,39.62497740022375
xgb,hits,5m,test,MAPE,117337426601.39339
seasonal_naive,hits,5m,test,RMSE,92.50439817638981
seasonal_naive,hits,5m,test,MSE,8557.063681976071
seasonal_naive,hits,5m,test,MAE,67.51524507912004
seasonal_naive,hits,5m,test,MAPE,284832111204.11176
xgb,total_bytes,5m,cv_mean,RMSE,104932.66049048692
xgb,total_bytes,5m,cv_mean,MSE,11227916260.397839
xgb,total_bytes,5m,cv_mean,MAE,71662.57816333344
xgb,total_bytes,5m,cv_mean,MAPE,1712367.2314196483
xgb,total_bytes,5m,test,RMSE,1481348.0171640927
xgb,total_bytes,5m,test,MSE,2194391947955.9893
xgb,total_bytes,5m,test,MAE,1114918.3621364813
xgb,total_bytes,5m,test,MAPE,1716160809050604.5
seasonal_naive,total_bytes,5m,test,RMSE,2069116.8478682872
seasonal_naive,total_bytes,5m,test,MSE,4281244530132.397
seasonal_naive,total_bytes,5m,test,MAE,1546935.8784253185
seasonal_naive,total_bytes,5m,test,MAPE,4992799691238971.0
xgb,hits,15m,cv_mean,RMSE,3.779006742349714
xgb,hits,15m,cv_mean,MSE,14.390588573166857
xgb,hits,15m,cv_mean,MAE,2.802313144877553
xgb,hits,15m,cv_mean,MAPE,753312434.580107
xgb,hits,15m,test,RMSE,129.09261294442715
xgb,hits,15m,test,MSE,16664.902716819677
xgb,hits,15m,test,MAE,92.27427257834
xgb,hits,15m,test,MAPE,17.83391354112159
seasonal_naive,hits,15m,test,RMSE,245.74635059276864
seasonal_naive,hits,15m,test,MSE,60391.26882966396
seasonal_naive,hits,15m,test,MAE,174.63151796060254
seasonal_naive,hits,15m,test,MAPE,35.54695339578069
xgb,total_bytes,15m,cv_mean,RMSE,197845.06562353118
xgb,total_bytes,15m,cv_mean,MSE,59378840904.61527
xgb,total_bytes,15m,cv_mean,MAE,145275.01171385037
xgb,total_bytes,15m,cv_mean,MAPE,371483839.4882775
xgb,total_bytes,15m,test,RMSE,3300451.9360624864
xgb,total_bytes,15m,test,MSE,10892982982258.613
xgb,total_bytes,15m,test,MAE,2473390.401506373
xgb,total_bytes,15m,test,MAPE,29.94277699329742
seasonal_naive,total_bytes,15m,test,RMSE,4944258.662157488
seasonal_naive,total_bytes,15m,test,MSE,24445693718319.35
seasonal_naive,total_bytes,15m,test,MAE,3684466.9884125143
seasonal_naive,total_bytes,15m,test,MAPE,48.719016615059395
